source	translation	match_status	inheritance_status	category	occurrences	patchable_occurrences	variant_count	notes
Free Haven Sewer	프리 헤이븐 하수도	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Frozen Highlands	프로즌 하이랜드	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Garrote Gorge	가로트 협곡	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Gharik's Forge	가릭의 대장간	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Goblinwatch	고블린워치	exact	no_patchable_occurrence	monster	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Grand Temple of Eep	이프 대사원	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Grand Temple of the Moon	달의 대사원	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Grand Temple of the Sun	태양의 대사원	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hall of the Fire Lord	불의 군주의 회관	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Harmondale	하몬데일	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hermit's Isle	은둔자의 섬	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Icewind Keep	아이스윈드 성채	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ilsingore's Cave	일싱고어의 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Insane	광기	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ironsand Desert	아이언샌드 사막	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Kriegspire	크리그스파이어	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lair of the Wolf	늑대의 소굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Level	레벨	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lord Markham's Manor	마크햄 경의 저택	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mad Necromancer's Lab 	미친 강령술사의 연구소 	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Magic	마법	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Melee Only	근접 공격 전용	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Merchant House of Alvar	알바르 상인회관	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mire of the Damned	저주받은 자들의 수렁	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Misty Islands	안개 섬	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mount Nighon	나이혼 산	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Murmurwoods	머머우즈	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Naga Vault	나가 보물고	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Necromancers' Guild	강령술사 길드	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
New World Computing	뉴 월드 컴퓨팅	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Nighon Tunnels	나이혼 터널	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
NWC	NWC	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ogre Fortress	오우거 요새	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Old Loeb's Cave	늙은 로브의 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Oracle of Enroth	엔로스의 오라클	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Paradise Valley	파라다이스 밸리	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Passage Under Regna	레그나 지하 통로	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
pending	pending	exact	no_patchable_occurrence	monster	12	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pirate Outpost	해적 전초기지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pirate Stronghold	해적 거점	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Plane Between Planes	차원 사이의 차원	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Plane of Air	공기의 차원	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Plane of Earth	대지의 차원	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Plane of Fire	불의 차원	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Plane of Water	물의 차원	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Prison of the Lord of Air	공기의 군주의 감옥	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Prison of the Lord of Earth	대지의 군주의 감옥	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Prison of the Lord of Fire	불의 군주의 감옥	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Prison of the Lord of Water	물의 군주의 감옥	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ravage Roaming	라비지 로밍	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ravenshore	레이븐쇼어	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Reactor	원자로	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Regna	레그나	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shadow Guild	섀도 길드	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shadow Guild Hideout	섀도 길드 은신처	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shadowspire	섀도스파이어	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shoals	여울	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Silver Cove	실버 코브	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Silver Helm Outpost	실버 헬름 전초기지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Silver Helm Stronghold	실버 헬름 요새	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Slow	감속	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Small Sub Pen	소형 잠수함 격납고	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Smuggler's Cove	밀수꾼의 만	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Snergle's Caverns	스너글의 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Snergle's Iron Mines	스너글의 철광산	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Stone	돌	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Stone City	스톤 시티	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Superior Temple of Baa	바의 상급 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Supreme Temple of Baa	바의 최고 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sweet Water	스위트 워터	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tatalia	타탈리아	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple of Baa	바의 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple of the Dark	어둠의 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple of the Fist	주먹의 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple of the Light	빛의 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple of the Moon	달의 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple of the Snake	뱀의 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple of the Sun	태양의 신전	exact	no_patchable_occurrence	monster	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple of Tsantsa	찬차의 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Arena	투기장	exact	no_patchable_occurrence	monster	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Bandit Caves	도적 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Barrow Downs	고분 지대	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Bracada Desert	브라카다 사막	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Breach	균열	exact	no_patchable_occurrence	monster	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Breeding Zone	번식 구역	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Crypt of Korbu	코르부의 납골당	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Dragon Caves	드래곤 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Dragon's Lair	드래곤의 소굴	exact	no_patchable_occurrence	monster	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Erathian Sewers	에라시아 하수도	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Hall of the Pit	구덩이의 회관	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Hall under the Hill	언덕 아래의 회관	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Haunted Mansion	유령 저택	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Hidden Tomb	숨겨진 무덤	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Hive	하이브	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Land of the Giants	거인들의 땅	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Lincoln	링컨	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Maze	미궁	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Mercenary Guild	용병 길드	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Monolith	모놀리스	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Pit	구덩이	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Red Dwarf Mines	레드 드워프 광산	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The School of Sorcery	마법 학교	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Small House	작은 집	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Strange Temple	기묘한 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Temple of Baa	바의 신전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Temple of the Moon	달의 신전	exact	no_patchable_occurrence	monster	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Tidewater Caverns	타이드워터 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Titans' Stronghold	타이탄 요새	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Tularean Caves	툴라리안 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Tularean Forest	툴라리안 숲	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Walls of Mist	안개의 장벽	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Wine Cellar	와인 저장고	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Thunderfist Mountain	썬더피스트 산	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Time	시간	exact	no_patchable_occurrence	monster	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tomb of Ethric the Mad	광인 에스릭의 무덤	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tomb of Lord Brinne	브린 경의 무덤	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tomb of VARN	VARN의 무덤	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Troll Tomb	트롤 무덤	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tunnels to Eeofol	이오폴로 가는 터널	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tutorial	튜토리얼	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Unicorn	유니콘	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Unknown	알 수 없음	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Uplifted Library	떠오른 도서관	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Vampire Crypt	뱀파이어 납골당	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
War Camp	전쟁 야영지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Warlord's Fortress	군벌의 요새	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wasp Nest	말벌 둥지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Watchtower 6	제6 감시탑	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
White Cliff Cave	화이트 클리프 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
William Setag's Tower	윌리엄 세탁의 탑	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wromthrax's Cave	웜스랙스의 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Yaardrake's Cave	야드드레이크의 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Zokarr's Tomb	조카르의 무덤	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Food	식량	exact	no_patchable_occurrence	skill	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
HP	생명력	exact	no_patchable_occurrence	skill	10	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
SP	주문력	exact	no_patchable_occurrence	skill	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Swift	[신속]	exact	no_patchable_occurrence	skill	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Expert	전문가	exact	no_patchable_occurrence	spell	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Grandmaster	그랜드마스터	exact	no_patchable_occurrence	spell	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Name	이름	exact	no_patchable_occurrence	spell	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
School	학교	exact	no_patchable_occurrence	spell	12	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Temple	신전	exact	no_patchable_occurrence	spell	5	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Acid Burst	산성 폭발	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Alchemy	연금술	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Almighty Crown	전능의 왕관	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Alvar Cloak	알바르 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Alvarian Boots	알바르 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Alvarian Leather	알바르 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Amethyst	자수정	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Amulet	부적	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Angel	천사	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Angelic Helm	천사의 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Arcane Key	신비의 열쇠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Arch Druid	대드루이드	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Arch Mage	대마법사	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Archangel	대천사	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Archangel Wings	대천사의 날개	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Archer	궁수	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Armageddon	아마겟돈	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Armored Boots	장갑 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Arthur	아서	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Artificer's Belt	장인의 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Assassin	암살자	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Atlas	아틀라스	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Awaken	각성	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Banded Plate	띠형 판금 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Battle Helm	전투용 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Belts	벨트	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Berserker Belt	광전사의 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Big Brass Ring	커다란 황동 고리	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Big Tapestry	대형 태피스트리	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Black Potion	검은색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Blades	칼날	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Blaster	블래스터	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Blaster Rifle	블래스터 소총	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Bless	축복	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Blind	실명	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Blue Potion	푸른색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Boats	배	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Bodybuilding	체력 단련	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Bone of Doom	파멸의 뼈	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Boots	장화	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Bounty Hunter	현상금 사냥꾼	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Broadsword	브로드소드	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cannonball	포탄	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cannonball of Dominion	도미니언의 포탄	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Caravaner's Leather	대상단원의 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cardinal Cloak	추기경의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Catalyst	촉매	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Chain	사슬 갑옷	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Chain Mail	사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Chainmail	사슬 갑옷	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Charm	매혹	exact	no_patchable_occurrence	table	5	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Citrine	황수정	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Class	직업	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cloak	망토	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cloak of Baa	바의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cloak of the Sheep	양의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cloaks	망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cloth Hat	천 모자	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Conflux Key	컨플럭스 열쇠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Conscript's Helm	징집병의 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Control Cube	제어 큐브	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Control Undead	언데드 지배	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Crossbow	석궁	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Crown	왕관	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Crown of Final Dominion	최종 지배의 왕관	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Crude Leather Armor	조잡한 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Crusader	십자군	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cure Disease	질병 치료	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cure Insanity	광기 치료	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cure Paralysis	마비 치료	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cure Poison	독 치료	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cure Weakness	약화 치료	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cure Wounds	상처 치료	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
