source	translation	status	category	patchable_occurrences	reasons	files	sample_context
 bonus to Meditation skill for 6 hours.		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	"t.Description=""Grants "" .. StrColor(0,0,200,math.ceil(t.Item.Bonus^0.5/1.5) + 1) .. "" bonus to Meditation skill for 6 hours."""
 skill in 		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"t.Description=t.Description .. StrColor(255,0,0, ""\n\nYou need at least "" .. mastery[m] .. "" skill in "" ..  name .. "" to open the book"")"
 Spell Points		untranslated	tooltip	2	formatted_colored_text:2	Scripts/General/zzAlchemy.lua	"t.Description=StrColor(255,255,153,""Restores "" .. round(t.Item.Bonus^1.6*2/3)+10 .. "" Spell Points"") .. ""\n"" .. t.Description"
 to open the book		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"t.Description=t.Description .. StrColor(255,0,0, ""\n\nYou need at least "" .. mastery[m] .. "" skill in "" ..  name .. "" to open the book"")"
Celestial orb is charged and it's ready to grant celestial powers to any non-Artifact Equipment		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	"t.Description = t.Description .. ""\n\n"" .. StrColor(120, 240, 255,""Celestial orb is charged and it's ready to grant celestial powers to any non-Artifact Equipment"")"
Charges: 		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	"t.Description=StrColor(255,255,153,""Charges: "" .. charges) .. ""\n\n"" .. t.Description"
Grants 		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	"t.Description=""Grants "" .. StrColor(0,0,200,math.ceil(t.Item.Bonus^0.5/1.5) + 1) .. "" bonus to Meditation skill for 6 hours."""
Heals 		untranslated	tooltip	2	formatted_colored_text:2	Scripts/General/zzAlchemy.lua	"t.Description=StrColor(255,255,153,""Heals "" .. round(t.Item.Bonus^1.75)+10 .. "" Hit Points"") .. ""\n"" .. t.Description"
Power: 		untranslated	tooltip	2	formatted_colored_text:2	Scripts/General/zzMaw-Items.lua	"t.Description = t.Description .. ""\n\n"" .. ""Power: "" .. StrColor(255,0,0,increaseDPSPercent .. ""%"")"
Press alt to show craftable stats		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"t.Description = t.Description .. ""\n\n"" .. StrColor(100,100,100,""Press alt to show craftable stats"")"
Restores 		untranslated	tooltip	2	formatted_colored_text:2	Scripts/General/zzAlchemy.lua	"t.Description=StrColor(255,255,153,""Restores "" .. round(t.Item.Bonus^1.6*2/3)+10 .. "" Spell Points"") .. ""\n"" .. t.Description"
"Vampiric Aura: damage done will restore player HP.

"		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"t.Description=StrColor(255,255,153,""Vampiric Aura: damage done will restore player HP.\n\n"") .. t.Description"
Vitality: 		untranslated	tooltip	2	formatted_colored_text:2	Scripts/General/zzMaw-Items.lua	"t.Description = t.Description .. ""\n"" .. ""Vitality: "" .. StrColor(255,0,0, increaseVitalityPercent .. ""%"")"
"

Bolster Level in MM6: "		untranslated	ui	2	formatted_colored_text:2	Scripts/General/zzMaw-Stats.lua	"t.Text=t.Text ..""\n\nTotal Levels gained: "" .. StrColor(255,255,153,round(getTotalLevel()*100)/100).. ""\n\nLevels gained in MM6: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[3]*100)/100) .. ""\nLevels gained in MM7: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[2]*100)/100) .. ""\nLevels gained in MM8: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[1]*100)/100) .. ""\n\nBolster Level in MM6: "" .. StrColor(255,255,153,round(bolsterLevel6)) ..""\nBolster"
"

CURRENT MAP HEALING RECOUNT:
Healing Done in current Map:  "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text = t.Text .. ""\n\nCURRENT MAP HEALING RECOUNT:\nHealing Done in current Map:  "" .. StrColor(0,255,0,mapvars.healingDone[id]) .. ""\nRegen Healing in current Map: "" .. StrColor(0,255,0,mapvars.regenerationHeal[id]) .. ""\nLeech Healing in current Map: "" .. StrColor(0,255,0,mapvars.leechDone[id])"
"

Levels gained in MM6: "		untranslated	ui	2	formatted_colored_text:2	Scripts/General/zzMaw-Stats.lua	"t.Text=t.Text ..""\n\nTotal Levels gained: "" .. StrColor(255,255,153,round(getTotalLevel()*100)/100).. ""\n\nLevels gained in MM6: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[3]*100)/100) .. ""\nLevels gained in MM7: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[2]*100)/100) .. ""\nLevels gained in MM8: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[1]*100)/100) .. ""\n\nBolster Level in MM6: "" .. StrColor(255,255,153,round(bolsterLevel6)) ..""\nBolster"
"

Total average damage reduction: "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\n\nPhysical damage reduction: %s%s"",t.Text,StrColor(255,255,100,acReduction),StrColor(255,255,100,""%"") .. ""\nBlock chance vs same level monsters: "" .. StrColor(255,255,100,blockChance) .. StrColor(255,255,100,""%"") .. ""\n\nTotal average damage reduction: "" .. StrColor(255,255,100,totRed) .. ""%"")"
"

TOTAL HEALING RECOUNT:
Total Healing Done:  "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text = t.Text .. ""\n\nTOTAL HEALING RECOUNT:\nTotal Healing Done:  "" .. StrColor(0,255,0,vars.healingDone[id]) .. ""\nTotal Regen Healing: "" .. StrColor(0,255,0,vars.regenerationHeal[id]) .. ""\nTotal Leech Healing: "" .. StrColor(0,255,0,vars.leechDone[id])"
"

Total Levels gained: "		untranslated	ui	2	formatted_colored_text:2	Scripts/General/zzMaw-Stats.lua	"t.Text=t.Text ..""\n\nTotal Levels gained: "" .. StrColor(255,255,153,round(getTotalLevel()*100)/100).. ""\n\nLevels gained in MM6: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[3]*100)/100) .. ""\nLevels gained in MM7: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[2]*100)/100) .. ""\nLevels gained in MM8: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[1]*100)/100) .. ""\n\nBolster Level in MM6: "" .. StrColor(255,255,153,round(bolsterLevel6)) ..""\nBolster"
"
Block chance vs same level monsters: "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\n\nPhysical damage reduction: %s%s"",t.Text,StrColor(255,255,100,acReduction),StrColor(255,255,100,""%"") .. ""\nBlock chance vs same level monsters: "" .. StrColor(255,255,100,blockChance) .. StrColor(255,255,100,""%"") .. ""\n\nTotal average damage reduction: "" .. StrColor(255,255,100,totRed) .. ""%"")"
"
Bolster Level in MM7: "		untranslated	ui	2	formatted_colored_text:2	Scripts/General/zzMaw-Stats.lua	"t.Text=t.Text ..""\n\nTotal Levels gained: "" .. StrColor(255,255,153,round(getTotalLevel()*100)/100).. ""\n\nLevels gained in MM6: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[3]*100)/100) .. ""\nLevels gained in MM7: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[2]*100)/100) .. ""\nLevels gained in MM8: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[1]*100)/100) .. ""\n\nBolster Level in MM6: "" .. StrColor(255,255,153,round(bolsterLevel6)) ..""\nBolster"
"
Bolster Level in MM8: "		untranslated	ui	2	formatted_colored_text:2	Scripts/General/zzMaw-Stats.lua	"t.Text=t.Text ..""\n\nTotal Levels gained: "" .. StrColor(255,255,153,round(getTotalLevel()*100)/100).. ""\n\nLevels gained in MM6: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[3]*100)/100) .. ""\nLevels gained in MM7: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[2]*100)/100) .. ""\nLevels gained in MM8: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[1]*100)/100) .. ""\n\nBolster Level in MM6: "" .. StrColor(255,255,153,round(bolsterLevel6)) ..""\nBolster"
"
Current bonus Damage: "		untranslated	ui	1	display_variable_assignment:1	Scripts/General/zzMaw-Items.lua	"legText=legText .. ""\nCurrent bonus Damage: "" .. dmg .. ""%"""
"
Current Reduction: "		untranslated	ui	1	display_variable_assignment:1	Scripts/General/zzMaw-Items.lua	"legText=legText .. ""\nCurrent Reduction: "" .. red .. ""%"""
"
Leech Healing in current Map: "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text = t.Text .. ""\n\nCURRENT MAP HEALING RECOUNT:\nHealing Done in current Map:  "" .. StrColor(0,255,0,mapvars.healingDone[id]) .. ""\nRegen Healing in current Map: "" .. StrColor(0,255,0,mapvars.regenerationHeal[id]) .. ""\nLeech Healing in current Map: "" .. StrColor(0,255,0,mapvars.leechDone[id])"
"
Levels gained in MM7: "		untranslated	ui	2	formatted_colored_text:2	Scripts/General/zzMaw-Stats.lua	"t.Text=t.Text ..""\n\nTotal Levels gained: "" .. StrColor(255,255,153,round(getTotalLevel()*100)/100).. ""\n\nLevels gained in MM6: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[3]*100)/100) .. ""\nLevels gained in MM7: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[2]*100)/100) .. ""\nLevels gained in MM8: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[1]*100)/100) .. ""\n\nBolster Level in MM6: "" .. StrColor(255,255,153,round(bolsterLevel6)) ..""\nBolster"
"
Levels gained in MM8: "		untranslated	ui	2	formatted_colored_text:2	Scripts/General/zzMaw-Stats.lua	"t.Text=t.Text ..""\n\nTotal Levels gained: "" .. StrColor(255,255,153,round(getTotalLevel()*100)/100).. ""\n\nLevels gained in MM6: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[3]*100)/100) .. ""\nLevels gained in MM7: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[2]*100)/100) .. ""\nLevels gained in MM8: "" .. StrColor(255,255,153,round(vars.MultiplayerBolsterLevels[1]*100)/100) .. ""\n\nBolster Level in MM6: "" .. StrColor(255,255,153,round(bolsterLevel6)) ..""\nBolster"
"
Regen Healing in current Map: "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text = t.Text .. ""\n\nCURRENT MAP HEALING RECOUNT:\nHealing Done in current Map:  "" .. StrColor(0,255,0,mapvars.healingDone[id]) .. ""\nRegen Healing in current Map: "" .. StrColor(0,255,0,mapvars.regenerationHeal[id]) .. ""\nLeech Healing in current Map: "" .. StrColor(0,255,0,mapvars.leechDone[id])"
"
Total Leech Healing: "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text = t.Text .. ""\n\nTOTAL HEALING RECOUNT:\nTotal Healing Done:  "" .. StrColor(0,255,0,vars.healingDone[id]) .. ""\nTotal Regen Healing: "" .. StrColor(0,255,0,vars.regenerationHeal[id]) .. ""\nTotal Leech Healing: "" .. StrColor(0,255,0,vars.leechDone[id])"
"
Total Regen Healing: "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text = t.Text .. ""\n\nTOTAL HEALING RECOUNT:\nTotal Healing Done:  "" .. StrColor(0,255,0,vars.healingDone[id]) .. ""\nTotal Regen Healing: "" .. StrColor(0,255,0,vars.regenerationHeal[id]) .. ""\nTotal Leech Healing: "" .. StrColor(0,255,0,vars.leechDone[id])"
 Randomizer		untranslated	ui	1	display_field_assignment:1	Scripts/General/zzzzMalekith-Randomizer.lua	"Text = "" Randomizer"","
"%s

CURRENT MAP DAMAGE RECOUNT
Melee Damage done in current map: %s"		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\n\nCURRENT MAP DAMAGE RECOUNT\nMelee Damage done in current map: %s"",t.Text,StrColor(255,255,100,round(damage)))"
"%s

Hit chance vs same level monster: %s%s"		untranslated	ui	2	formatted_colored_text:2	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\n\nHit chance vs same level monster: %s%s"",t.Text,StrColor(255,255,100,hitChance),StrColor(255,255,100,""%""))"
"%s

HP bonus from Endurance: %s
HP bonus from Body building: %s
HP bonus from items: %s
Base HP: %s

 HP Regen per second: %s"		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\n\nHP bonus from Endurance: %s\nHP bonus from Body building: %s\nHP bonus from items: %s\nBase HP: %s\n\n HP Regen per second: %s"",t.Text,StrColor(0,255,0,hpMap.totalEnduranceBonus), StrColor(0,255,0,hpMap.totalBBBonus),StrColor(0,255,0,round(hpMap.totalhpFromItems)),StrColor(0,255,0,hpMap.totalBaseHP),StrColor(0,255,0,regen))"
"%s

Physical damage reduction: %s%s"		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\n\nPhysical damage reduction: %s%s"",t.Text,StrColor(255,255,100,acReduction),StrColor(255,255,100,""%"") .. ""\nBlock chance vs same level monsters: "" .. StrColor(255,255,100,blockChance) .. StrColor(255,255,100,""%"") .. ""\n\nTotal average damage reduction: "" .. StrColor(255,255,100,totRed) .. ""%"")"
"%s

Spell point regen per second: %s"		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\n\nSpell point regen per second: %s"",t.Text,StrColor(40,100,255,regen/10))"
"%s

TOTAL DAMAGE RECOUNT
Total Damage done: %s"		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\n\nTOTAL DAMAGE RECOUNT\nTotal Damage done: %s"",t.Text,StrColor(255,255,100,round(damage)))"
"%s
Ranged Damage done in current map: %s"		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\nRanged Damage done in current map: %s"",t.Text,StrColor(255,255,100,round(damage)))"
"%s
Total Ranged Damage done: %s"		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"t.Text=string.format(""%s\nTotal Ranged Damage done: %s"",t.Text,StrColor(255,255,100,round(damage)))"
Debuffs:		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzMaw-Monsters.lua	"t.EffectsHeader.Text = t.EffectsHeader.Text .. ""\n\n"" .. StrColor(255,200,0, ""Debuffs:"" .. activeDebuffs)"
Disabled		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"enableDisableText = StrColor(255,0,0, ""Disabled"")"
"Elementalist offensive spells, when casted randomly, grant elementalist stacks, which increase spell damage, speed and cost.
Press R to enable/disable random rotation.
Currently "		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local rotationText = StrColor(0,0,0,""Elementalist offensive spells, when casted randomly, grant elementalist stacks, which increase spell damage, speed and cost.\nPress R to enable/disable random rotation.\nCurrently "") .. enableDisableText .. ""\n\n"""
Enabled		untranslated	ui	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local enableDisableText = StrColor(0,255,0, ""Enabled"")"
If you seek to pursuit a new path and reset your skills, you have come to the right place.		untranslated	ui	1	display_field_assignment:1	Scripts/Global/zzMAWRespec.lua	"Text = ""If you seek to pursuit a new path and reset your skills, you have come to the right place."""
"Intellect represents a character's ability to reason and understand complex, abstract concepts.
Spell Damage and Spell Critical Damage are based on Intellect."		untranslated	ui	1	display_variable_assignment:1	Scripts/General/zzMaw-Stats.lua	"local baseText=""Intellect represents a character's ability to reason and understand complex, abstract concepts.\nSpell Damage and Spell Critical Damage are based on Intellect."""
MAW		untranslated	ui	1	settings_display_table:1	Scripts/General/MenuExtraSettings.lua	"MAWBOLSTER={[0]=""Easy"", [50]=""Norm."", [100]=""MAW"", [150]=""Hard"", [200]=""Hell"", [250]=""Night\nmare"", [300]=""Night\nmare"",[600]=""Doom""}"
Personality represents both a character's strength of will and personal charm. Maximum spell points, Mana cost and Healing Power are based on Personality.		untranslated	ui	1	display_variable_assignment:1	Scripts/General/zzMaw-Stats.lua	"local baseText=""Personality represents both a character's strength of will and personal charm. Maximum spell points, Mana cost and Healing Power are based on Personality."""
Show players location		untranslated	ui	1	display_field_assignment:1	Scripts/Modules/Multiplayer/UI/GlobalMap.lua	"Text = ""Show players location"","
Welcome to the arena, warriors! This might be different than you remember. Prepare yourselves, sharpen your skills, and brace for the challenge ahead. Get ready to showcase your strength, strategy, and determination. The battle awaits!		untranslated	ui	1	display_field_assignment:1	Scripts/Global/zzMaw_Arena.lua	"Text = ""Welcome to the arena, warriors! This might be different than you remember. Prepare yourselves, sharpen your skills, and brace for the challenge ahead. Get ready to showcase your strength, strategy, and determination. The battle awaits!"""
You need to clear the area COMPLETELY first.		untranslated	ui	1	display_variable_assignment:1	Scripts/General/BountyHunt.lua	"BountyText = ""You need to clear the area COMPLETELY first."""
Accuracy	정확도	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[5] = StrColor(255, 255, 0, ""Accuracy"")"
Air Resistance	공기 저항	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[12] = StrColor(173, 216, 230, ""Air Resistance"")"
Alchemy skill	연금술 기술	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[17] = StrColor(255,255,153, ""Alchemy skill"")"
Armsmaster skill	무기 전문가 기술	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[22] = StrColor(255,255,153, ""Armsmaster skill"")"
Body Resistance	육체 저항	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[16] = StrColor(255, 192, 203, ""Body Resistance"")"
Disarm skill	함정 해제 기술	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[19] = StrColor(255,255,153, ""Disarm skill"")"
Dodge skill	회피 기술	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[23] = StrColor(255,255,153, ""Dodge skill"")"
Earth Resistance	대지 저항	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[14] = StrColor(153, 76, 0, ""Earth Resistance"")"
Fire Resistance	화염 저항	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[11] = StrColor(255, 70, 70, ""Fire Resistance"")"
Great might	강대한 힘	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[25] = StrColor(255,255,153, ""Great might"")"
Hit Points	생명력	translated	item	3	formatted_colored_text:3	Scripts/General/zzMaw-Items.lua; Scripts/General/zzMaw-Stats.lua	"itemStatName[8] = StrColor(0, 255, 0, ""Hit Points"")"
ID Item skill	아이템 감정 기술	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[20] = StrColor(255,255,153, ""ID Item skill"")"
ID Monster skill	몬스터 감정 기술	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[21] = StrColor(255,255,153, ""ID Monster skill"")"
Might	힘	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[1] = StrColor(255, 0, 0, ""Might"")"
Mind Resistance	정신 저항	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[15] = StrColor(200, 200, 255, ""Mind Resistance"")"
Personality	인격	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[3] = StrColor(0, 127, 255, ""Personality"")"
Spell Points	주문력	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[9] = StrColor(0, 100, 255, ""Spell Points"")"
Unarmed skill	맨손 전투 기술	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[24] = StrColor(255,255,153, ""Unarmed skill"")"
Water Resistance	물 저항	translated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[13] = StrColor(100, 180, 255, ""Water Resistance"")"
Antagarich	안타개릭	translated	map	2	event_hint_assignment:2	Scripts/Maps/out02.lua; Scripts/Maps/oute3.lua	"evt.hint[1777]=""Antagarich"""
Enroth	엔로스	translated	map	2	event_hint_assignment:2	Scripts/Maps/7out02.lua; Scripts/Maps/out02.lua	"evt.hint[2666]=""Enroth"""
Jadame	제이덤	translated	map	2	event_hint_assignment:2	Scripts/Maps/7out02.lua; Scripts/Maps/oute3.lua	"evt.hint[1888]=""Jadame"""
Empty Barrel	빈 통	translated	misc	1	event_hint_assignment:1	Scripts/General/zzMaw-Maps.lua	"evt.hint[19999] = ""Empty Barrel"""
Emerald Island	에메랄드 섬	translated	monster	1	known_display_name_assignment:1	Scripts/General/zz_Maw-initialize.lua	"if Game.ItemsTxt[1466].Name==""Emerald Island"" then"
Normal	보통	translated	spell	1	settings_display_table:1	Scripts/General/MenuExtraSettings.lua	"gameMode={[0]=""Normal"", [2]=""Doom"", [4]=""Road to\ninsanity"",[6]=""Beyond\nMadness"",[8]="" Austerity"" }"
  heals 	 → 	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. ""  heals "" .. Party[t.TargetId].Name .. "" for "" .. healData[3] .. "" hit points(crit)""))"
 cover 	 → 엄호: 	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(Party[coverPlayerIndex].Name .. "" cover "" .. Party[target].Name)"
 crafting items	개의 제작 재료	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Teleported "" .. objCount .. "" crafting items"")"
 Exp, 	 경험치, 	translated	status	2	esc_message_call:1; status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Map Completed! You gain "" .. experience .. "" Exp, "" .. gold .. "" Gold and a Crafting Material"")"
 filtered)	 필터됨)	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(""You found "" .. itemGold+goldGained .. "" gold! ("" .. tierList[itemPower] .. "" "" .. Game.ItemsTxt[itemID].NotIdentifiedName .. "" filtered)"")"
 for 	: 회복량 	translated	status	8	status_text_call:8	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. "" heals "" .. Party[t.TargetId].Name .. "" for "" .. healData[1] .. "" hit points(crit)""))"
 Gold and a Crafting Material	 금화 및 제작 재료	translated	status	2	esc_message_call:1; status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Map Completed! You gain "" .. experience .. "" Exp, "" .. gold .. "" Gold and a Crafting Material"")"
 gold! (	 금화! (	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(""You found "" .. itemGold+goldGained .. "" gold! ("" .. tierList[itemPower] .. "" "" .. Game.ItemsTxt[itemID].NotIdentifiedName .. "" filtered)"")"
 heals 	 → 	translated	status	7	status_text_call:7	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. "" heals "" .. Party[t.TargetId].Name .. "" for "" .. healData[1] .. "" hit points(crit)""))"
 heals the party for 	: 파티 회복량 	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(name .. "" heals the party for "" .. shown .. "" hit points (crit)"")"
 heals you for 	: 회복량 	translated	status	9	status_text_call:9	Scripts/General/zzMaw-Spells.lua; Scripts/General/zzzOnlineVariableSender.lua	"Game.ShowStatusText(string.format(name .. "" heals you for "" .. healData[1] .. "" hit points(crit)""))"
 Hit points	 생명력	translated	status	6	status_text_call:6	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(""You Heal for "" .. round(totHeal) .. "" Hit points""))"
 hit points	 생명력	translated	status	10	status_text_call:10	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. "" heals you for "" .. healData[1] .. "" hit points""))"
 hit points (crit)	 생명력 (치명타)	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""You heal the party for "" .. tooltipHeal .. "" hit points (crit)"")"
 Hit points(crit)	 생명력 (치명타)	translated	status	6	status_text_call:6	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(""You Heal for "" .. round(totHeal) .. "" Hit points(crit)""))"
 hit points(crit)	 생명력 (치명타)	translated	status	8	status_text_call:8	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. "" heals you for "" .. healData[1] .. "" hit points(crit)""))"
 monsters	마리의 몬스터	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Teleported "" .. count .. "" monsters"")"
 monsters and 	마리의 몬스터와 	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Teleported "" .. count .. "" monsters and "" .. objCount .. "" crafting items"")"
 on attack activated	 공격 시 발동 활성화	translated	status	2	status_text_call:2	Scripts/General/zzClasses.lua	"Game.ShowStatusText(Game.SpellsTxt[t.Param].Name .. "" on attack activated"")"
 on attack disabled	 공격 시 발동 비활성화	translated	status	2	status_text_call:2	Scripts/General/zzClasses.lua	"Game.ShowStatusText(Game.SpellsTxt[t.Param].Name .. "" on attack disabled"")"
 required)	)	translated	status	2	status_text_call:2	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Your level is too low (Level "" .. levelRequired .. "" required)"")"
 will not be sorted with C	번은 C키 정렬에서 제외됩니다	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""Inventory number "" .. vars.mawbags[pl:GetIndex()].CurrentBag .. "" will not be sorted with C"""
 will now take alchemy items when sorting	 → 정렬 시 연금술 아이템 담당	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(Party[Game.CurrentPlayer].Name .. "" will now take alchemy items when sorting"")"
%s casts Charge stunning the enemy	%s의 돌진이 적을 기절시킵니다	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(string.format(""%s casts Charge stunning the enemy"",Party[0].Name))"
%s created	%s 제작 완료	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(string.format(""%s created"", craftingNames[i+1]))"
%s's poison effect expired	%s: 독 효과가 끝났습니다	translated	status	3	status_text_call:3	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(string.format(""%s's poison effect expired"",Party[i].Name))"
's bags sorted	의 모든 가방	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""All "" .. name .. ""'s bags sorted"")"
(CRIT!)	(치명타!)	translated	status	1	formatted_colored_text:1	Scripts/Global/zzMAWStatusMsg.lua	"critMessage=StrColor(255,255,30,""(CRIT!)"")"
*Swap*	*교대*	translated	status	3	status_text_call:3	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""*Swap*"")"
+50 Fire Resistance temporary.	일시적으로 화염 저항 +50.	translated	status	1	status_text_call:1	Scripts/Maps/7out01.lua	"Game.ShowStatusText(""+50 Fire Resistance temporary."")          -- ""+50 Fire Resistance temporary."""
